Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-10-18,TOP10 - SCIENCE FICTION,,https://boxd.it/pLZig,

Position,Name,Year,URL,Description
1,2001: A Space Odyssey,1968,https://boxd.it/2bf0,
2,Blade Runner,1982,https://boxd.it/2bcA,
3,A Clockwork Orange,1971,https://boxd.it/2aVE,
4,Interstellar,2014,https://boxd.it/4VZ8,
5,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,
6,Ex Machina,2015,https://boxd.it/7T2k,
7,Her,2013,https://boxd.it/4O24,
8,Alien,1979,https://boxd.it/2awY,
9,Blade Runner 2049,2017,https://boxd.it/b8wK,
10,Nope,2022,https://boxd.it/sDCe,
