Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-02-23,Best High-Tech Tales That Aren't About Technology,,https://boxd.it/tihHu,

Position,Name,Year,URL,Description
1,Blade Runner 2049,2017,https://boxd.it/b8wK,
2,Blade Runner,1982,https://boxd.it/2bcA,
3,Ex Machina,2015,https://boxd.it/7T2k,
4,Interstellar,2014,https://boxd.it/4VZ8,
5,The Social Network,2010,https://boxd.it/17ue,
6,The Matrix,1999,https://boxd.it/2a1m,
7,World on a Wire,1973,https://boxd.it/B9me,
8,2001: A Space Odyssey,1968,https://boxd.it/2bf0,
9,Her,2013,https://boxd.it/4O24,
